smiles,valid,novel,pred_logD_A,pred_logD_B,pred_sep,uncertainty,round,ucb,lcb,scaffold
CCCCCCSCc1cccc(-c2cccc(-c3cccc(CSCCCCCC)n3)n2)n1,True,True,0.363,-0.174,0.537,0.172,1,0.7090000000000001,0.36500000000000005,c1ccc(-c2cccc(-c3ccccn3)n2)nc1
CCCCCCCCN(CC(CC)CCCC)C(=S)c1ccc(C)nc1C(=S)N(CCCCCCCC)CC(CC)CCCC,True,True,0.25,-0.285,0.535,0.153,2,0.6880000000000001,0.382,c1ccncc1
CCCCCCCCN(CCCCCCCC)C(=S)c1cccc(-c2cccc(-c3cccc(C(=S)N(CCCCCCCC)CCCCCCCC)n3)n2)n1,True,True,0.474,-0.059,0.533,0.101,2,0.634,0.43200000000000005,c1ccc(-c2cccc(-c3ccccn3)n2)nc1
CCCCCCCCn1c(-c2cccc(-c3nc4ccccc4n3CCCCCCCC)n2)nc2ccccc21,True,True,1.06,0.547,0.513,0.167,1,0.68,0.346,c1cc(-c2nc3ccccc3[nH]2)nc(-c2nc3ccccc3[nH]2)c1
CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2c(n1)-c1nc(C(=S)N(CCCCCCCC)CCCCCCCC)ccc1CC2,True,True,0.373,-0.136,0.509,0.138,2,0.647,0.371,c1cnc2c(c1)CCc1cccnc1-2
CCCCC(CC)CN(CC(CC)CCCC)C(=S)c1ccc2ccccc2n1,True,True,0.368,-0.127,0.495,0.157,3,0.652,0.33799999999999997,c1ccc2ncccc2c1
CCCCCCc1nnc(-c2cccc(-c3nnc(CCCCCC)c(CCCCCC)n3)n2)nc1CCCCCC,True,True,0.514,0.048,0.466,0.091,1,0.557,0.375,c1cc(-c2nccnn2)nc(-c2nccnn2)c1
CCCCCCOc1ccc(-c2cnc(-c3cccc(-c4cc(C)nn4CCCCCC)n3)nn2)cc1,True,True,0.939,0.523,0.416,0.119,1,0.5349999999999999,0.297,c1ccc(-c2cnc(-c3cccc(-c4ccn[nH]4)n3)nn2)cc1
CCCCCCCCCCc1cc(-c2ccccn2)nc(-c2cccc(-c3nc(CCCCCCCCCC)cc(-c4ccccn4)n3)n2)n1,True,True,0.638,0.243,0.395,0.134,2,0.529,0.261,c1ccc(-c2ccnc(-c3cccc(-c4nccc(-c5ccccn5)n4)n3)n2)nc1
CCCCCCN(CCCCCC)C(=S)c1nc(-c2ccccn2)nc(-c2ccccn2)n1,True,True,0.574,0.188,0.386,0.133,2,0.519,0.253,c1ccc(-c2ncnc(-c3ccccn3)n2)nc1
CCCCC(CC)CN(CC(CC)CCCC)C(=S)c1cccc(-c2cccc(C(=S)N(CC(CC)CCCC)CC(CC)CCCC)n2)n1,True,True,0.212,-0.159,0.372,0.177,2,0.5489999999999999,0.195,c1ccc(-c2ccccn2)nc1
