rank,SMILES,Metal,Acid_conc_M,Temperature_K,Pred_LogD,lo90,hi90,UCB_logD,confidence_pred_err,predicted_zone
184,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,Am(III),3.0,298.15,1.9318,0.618,3.2455,3.2455,0.4832,high (D>10)
185,CCCCCCCCCCCCCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,Pu(IV),1.0,298.15,0.1477,-2.9352,3.2307,3.2307,1.134,medium (0.5<=D<=10)
186,CCCCCCCCNC(=O)C(CCCCCC(C(=O)NCCCCCCCC)C(=O)NCCCCCCCC)C(=O)NCCCCCCCC,Eu(III),4.0,295.15,-1.2878,-5.7977,3.222,3.222,1.6589,low (D<0.5)
187,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCCC1,Eu(III),1.0,288.15,1.6466,0.1039,3.1892,3.1892,0.5675,high (D>10)
188,CCCCCCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCCCCCC,Pr(III),1.0,298.15,0.7985,-1.5922,3.1892,3.1892,0.8794,medium (0.5<=D<=10)
189,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCOCC1,Eu(III),1.0,288.15,1.6466,0.1039,3.1892,3.1892,0.5675,high (D>10)
190,Cc1ccn(-c2cccc(-n3ccc(C)n3)n2)n1,Am(III),5.0,298.15,2.043,0.9456,3.1403,3.1403,0.4037,high (D>10)
191,CCCCCCCCN(C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(C)CCCCCCCC)c1,Am(III),1.0,298.15,0.7788,-1.5677,3.1254,3.1254,0.8631,medium (0.5<=D<=10)
192,CCCCCCCCOc1cc(C(=O)N(C)c2ccc(C(C)(C)C)cc2)nc(C(=O)N(C)c2ccc(C(C)(C)C)cc2)c1,Am(III),7.0,298.15,2.9669,2.8309,3.1028,3.1028,0.05,high (D>10)
193,CCCCNC(=S)C(CC)C(=S)Nc1cccc(NC(=S)C(CC)C(=S)NCCCC)c1,Am(III),0.5,298.15,-0.643,-4.3795,3.0935,3.0935,1.3744,low (D<0.5)
194,CCCCNC(=O)CC(=O)NCCCC,Am(III),0.5,298.15,-0.643,-4.3795,3.0935,3.0935,1.3744,low (D<0.5)
195,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,Am(III),3.0,298.15,2.6032,2.1291,3.0773,3.0773,0.1744,high (D>10)
196,CC(C)(C)c1ccc(NCC(=O)c2cccc(C(=O)CNc3ccc(C(C)(C)C)cc3)n2)cc1,Am(III),1.0,298.15,1.4349,-0.2029,3.0727,3.0727,0.6024,high (D>10)
197,CCCCCCCCCCCCNCC(=O)c1cccc(C(=O)CNCCCCCCCCCCCC)n1,Am(III),1.0,298.15,1.4349,-0.2029,3.0727,3.0727,0.6024,high (D>10)
198,CCCCCCCCOc1cc(C(=O)Nc2ccc(C(C)(C)C)cc2)nc(C(=O)Nc2ccc(C(C)(C)C)cc2)c1,Am(III),3.0,298.15,2.0786,1.0913,3.0659,3.0659,0.3632,high (D>10)
199,CCCCCCCCN(CCCCCCCC)C(=O)C1CCC(C(=O)N(CCCCCCCC)CCCCCCCC)O1,Am(III),0.009332543,298.15,0.8478,-1.3528,3.0484,3.0484,0.8095,medium (0.5<=D<=10)
200,CCCCCCCCCCCCNC(=O)c1cc(OC)ccn1,Am(III),1.0,298.15,1.3741,-0.3002,3.0484,3.0484,0.6159,high (D>10)
201,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)Cc1ccccc1,Am(III),7.0,298.15,2.7442,2.4756,3.0128,3.0128,0.0988,high (D>10)
202,c1cc(-n2cccn2)nc(-n2cccn2)c1,Am(III),1.0,298.15,1.7517,0.5,3.0034,3.0034,0.4604,high (D>10)
203,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc(C(=O)N(CCCCCCCC)CCCCCCCC)o1,Am(III),3.0,298.15,2.6485,2.2981,2.9989,2.9989,0.1289,high (D>10)
204,CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,Pr(III),0.948149623,293.15,2.8628,2.7269,2.9988,2.9988,0.05,high (D>10)
205,CCCCCCCCCCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCCCCCCCCCC,Pr(III),1.0,298.15,0.9545,-1.0586,2.9676,2.9676,0.7405,medium (0.5<=D<=10)
206,CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,Nd(III),2.993865031,298.15,-0.1437,-3.2509,2.9634,2.9634,1.1429,medium (0.5<=D<=10)
207,CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,Dy(III),3.0,298.15,-0.5519,-4.051,2.9473,2.9473,1.2871,low (D<0.5)
208,CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,Am(III),5.0,298.15,2.7925,2.6379,2.947,2.947,0.0569,high (D>10)
209,Cc1cc(C)n(-c2cccc(-n3nc(C)cc3C)n2)n1,Am(III),5.0,298.15,2.7925,2.6379,2.947,2.947,0.0569,high (D>10)
210,CCCCCCCCN(CCCCCCCC)C(=O)CNCC(=O)N(CCCCCCCC)CCCCCCCC,Am(III),3.0,298.15,2.3618,1.7917,2.9319,2.9319,0.2097,high (D>10)
211,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)C(C)=O,Am(III),7.0,298.15,2.6605,2.39,2.931,2.931,0.0995,high (D>10)
212,O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)n4c5ccccc5c5ccccc54)nc3c2n1)n1c2ccccc2c2ccccc21,Eu(III),0.5,298.15,-0.9492,-4.8285,2.9301,2.9301,1.4269,low (D<0.5)
213,CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(CCCC)CCCC,Am(III),1.0,298.15,1.3705,-0.1878,2.9288,2.9288,0.5732,high (D>10)
214,CCCCCCN(C)C(=O)CC(=O)N(C)CCCCCC,Nd(III),0.993865031,298.15,1.252,-0.4163,2.9203,2.9203,0.6137,high (D>10)
215,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCC1,Eu(III),1.0,298.15,0.4795,-1.9541,2.913,2.913,0.8951,medium (0.5<=D<=10)
216,CCCCNC(=O)CC(=O)NCc1ccccc1,Am(III),1.0,298.15,-0.1085,-3.1235,2.9064,2.9064,1.109,medium (0.5<=D<=10)
217,O=C(c1ccc2ccc3ccc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,Eu(III),0.1,298.15,-0.4665,-3.8335,2.9005,2.9005,1.2385,low (D<0.5)
218,CCCCCCOP(=O)(CCCCCC)CC(=O)N(CC)CC,Am(III),5.0,298.15,1.0875,-0.7212,2.8962,2.8962,0.6653,high (D>10)
219,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,Am(III),3.0,298.15,0.5278,-1.8015,2.8571,2.8571,0.8568,medium (0.5<=D<=10)
220,CCCCCCOc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,Am(III),3.0,298.15,0.5278,-1.8015,2.8571,2.8571,0.8568,medium (0.5<=D<=10)
